START -14.24 9.17 0. 2.564 0. 0.15 0. 4.85E-04 4.98E-05 1.61E-05 6.30E-06
D1 -13.99 9.176 -0.027 2.589 -0.097 0.15 0. 4.85E-04 4.98E-05 1.62E-05 6.30E-06
D1 -13.74 9.197 -0.055 2.662 -0.195 0.15 0. 4.86E-04 4.98E-05 1.65E-05 6.30E-06
D1 -13.49 9.231 -0.082 2.784 -0.292 0.15 0. 4.87E-04 4.98E-05 1.68E-05 6.30E-06
D1 -13.24 9.279 -0.109 2.954 -0.39 0.15 0. 4.88E-04 4.98E-05 1.73E-05 6.30E-06
D1 -12.99 9.34 -0.136 3.174 -0.487 0.15 0. 4.89E-04 4.98E-05 1.80E-05 6.30E-06
D1 -12.74 9.415 -0.164 3.442 -0.585 0.15 0. 4.91E-04 4.98E-05 1.87E-05 6.30E-06
D1 -12.49 9.504 -0.191 3.759 -0.682 0.15 0. 4.93E-04 4.98E-05 1.96E-05 6.30E-06
D1 -12.24 9.606 -0.218 4.124 -0.78 0.15 0. 4.95E-04 4.98E-05 2.05E-05 6.30E-06
D1 -11.99 9.722 -0.245 4.538 -0.877 0.15 0. 4.98E-04 4.98E-05 2.15E-05 6.30E-06
D1B -11.633 9.911 -0.284 5.215 -1.017 0.15 0. 5.02E-04 4.98E-05 2.30E-05 6.30E-06
Q1 -11.453 9.393 3.101 5.95 -3.153 0.145 -0.053 4.89E-04 1.70E-04 2.46E-05 1.37E-05
D2 -10.919 6.403 2.498 9.841 -4.135 0.117 -0.053 4.02E-04 1.70E-04 3.16E-05 1.37E-05
Q2 -10.739 5.279 3.652 11.893 -7.435 0.105 -0.081 3.65E-04 2.64E-04 3.48E-05 2.19E-05
D3 -10.427 3.264 2.805 16.993 -8.912 0.08 -0.081 2.86E-04 2.64E-04 4.16E-05 2.19E-05
HCI -10.302 2.634 2.305 19.111 -8.282 0.071 -0.059 2.57E-04 2.42E-04 4.41E-05 1.92E-05
HC -10.178 2.11 1.908 21.106 -7.69 0.065 -0.038 2.30E-04 2.27E-04 4.63E-05 1.70E-05
HC -10.053 1.679 1.555 22.93 -6.909 0.062 -0.018 2.07E-04 2.16E-04 4.83E-05 1.47E-05
HC -9.928 1.331 1.239 24.537 -5.957 0.061 0.003 1.86E-04 2.08E-04 5.00E-05 1.23E-05
HC -9.804 1.059 0.953 25.888 -4.859 0.062 0.023 1.69E-04 2.04E-04 5.13E-05 9.83E-06
HC -9.679 0.855 0.688 26.95 -3.641 0.066 0.043 1.57E-04 2.03E-04 5.24E-05 7.33E-06
