type flag cell s[m]    l[m]  strg1  strg2  magid  beta_x[m] alpha_x gamma_x nu_x eta_x etap_x  beta_y[m] alpha_y gamma_y nu_y eta_y etap_y
LU_cntr    0 1 0.00000 0. 0. 0. 0 1.59358 0.00000 0.62752 0.00000 0.00668 0.00000 6.78240 0.00000 0.14744 0.00000 0. 0.
LU5_out    0 1 1.35000 0. 0. 0. 0 2.73723 -0.84715 0.62752 0.11186 0.00668 0.00000 7.05111 -0.19904 0.14744 0.03127 0. 0.
LU6_out    0 1 2.70000 0. 0. 0. 0 6.16818 -1.69430 0.62752 0.16514 0.00668 0.00000 7.85724 -0.39809 0.14744 0.06030 0. 0.
LU7_out    0 1 4.05000 0. 0. 0. 0 11.88644 -2.54145 0.62752 0.19034 0.00668 0.00000 9.20079 -0.59713 0.14744 0.08567 0. 0.
LU8_out    0 1 5.40000 0. 0. 0. 0 19.89199 -3.38860 0.62752 0.20433 0.00668 0.00000 11.08176 -0.79618 0.14744 0.10702 0. 0.
QA_in      0 1 7.11180 0. 0. 0. 0 33.33198 -4.46278 0.62752 0.21492 0.00668 0.00000 14.23960 -1.04857 0.14744 0.12877 0. 0.
QA_cntr    0 1 7.26400 0. 0. 0. 0 32.56400 9.40084 2.74462 0.21564 0.00646 -0.00277 15.50490 -7.44084 3.63538 0.13042 0. 0.
QA_out     0 1 7.41620 0. 0. 0. 0 27.84930 20.91390 15.74150 0.21644 0.00584 -0.00537 18.96490 -15.77460 13.17360 0.13185 0. 0.
BPM13      0 1 7.50600 0. 0. 0. 0 24.22010 19.50030 15.74150 0.21699 0.00536 -0.00537 21.90430 -16.95750 13.17360 0.13255 0. 0.
QB_        0 1 0.00000 0. 0. 0. 0 7.67290 18.14940 16.87300 2.50534 0.83958 0.00446 1.37135 27.93160 -19.15620 2.09664 0. 0.
QB_cntr    0 1 7.87400 0. 0. 0. 0 13.09970 8.88041 6.09644 0.22036 0.00354 -0.00384 33.66220 -8.60231 2.22801 0.13465 0. 0.
QB_out     0 1 8.07510 0. 0. 0. 0 10.63240 3.70303 1.38374 0.22311 0.00290 -0.00261 34.50050 4.54179 0.62689 0.13558 0. 0.
stv13      0 1 8.22500 0. 0. 0. 0 9.55334 3.49561 1.38374 0.22547 0.00251 -0.00261 33.15290 4.44782 0.62689 0.13629 0. 0.
