 0:
1:
2:
3:
4:
5:
6:
7:
8:
9:
10:
11:
12:
13:
14:
15:
16:
17:
18:
19:
20:
21:
22:
23:
24:
25:
26:
27:
28:
29:
30:
31:
32:
33:
34:
35:
36:
37:
38:
39:
40:
41:
42:
43:
44:
46:s[m]  beta_x[m] alpha_x gamma_x nu_x eta_x etap_x beta_y[m] alpha_y gamma_y nu_y eta_y etap_y
47:
   0.00  1.593581 0.000000 0.627518 0.000000 0.006676 0.000000  6.782399 0.000000 0.147440 0.000000 0. 0.
   1.35  2.737232 -0.847149 0.627518 0.111860 0.006676 0.000000  7.051109 -0.199045 0.147440 0.031270 0. 0.
   2.70  6.168184 -1.694298 0.627518 0.165140 0.006676 0.000000  7.857240 -0.398089 0.147440 0.060297 0. 0.
   4.05 11.886438 -2.541446 0.627518 0.190338 0.006676 0.000000  9.200791 -0.597134 0.147440 0.085675 0. 0.
   5.40 19.891994 -3.388595 0.627518 0.204329 0.006676 0.000000 11.081763 -0.796179 0.147440 0.107017 0. 0.
   7.11 33.331977 -4.462780 0.627518 0.214917 0.006676 0.000000 14.239598 -1.048567 0.147440 0.128773 0. 0.
   7.26 32.564000 9.400840 2.744620 0.215644 0.006464 -0.002771 15.504900 -7.440840 3.635380 0.130420 0. 0.
   7.42 27.849300 20.913900 15.741500 0.216440 0.005841 -0.005366 18.964900 -15.774600 13.173600 0.131848 0. 0.
   7.51 24.220100 19.500300 15.741500 0.216990 0.005359 -0.005366 21.904300 -16.957500 13.173600 0.132549 0. 0.
   0.00  7.672900 18.149400 16.873000 2.505338 0.839578 0.004463  1.371350 27.931600 -19.156200 2.096644 0. 0.
   7.87 13.099700 8.880410 6.096440 0.220360 0.003544 -0.003838 33.662200 -8.602310 2.228010 0.134654 0. 0.
   8.08 10.632400 3.703030 1.383740 0.223107 0.002900 -0.002609 34.500500 4.541790 0.626885 0.135581 0. 0.
   8.22  9.553340 3.495610 1.383740 0.225475 0.002509 -0.002609 33.152900 4.447820 0.626885 0.136286 0. 0.
   8.41  8.317040 3.241700 1.383740 0.228750 0.002030 -0.002609 31.541700 4.332780 0.626885 0.137189 0. 0.
   8.58  7.257860 3.007150 1.383740 0.232223 0.001588 -0.002609 30.090900 4.226530 0.626885 0.138065 0. 0.
   0.00  8.731800 6.365590 2.794330 0.220229 0.872711 0.001187  1.481730 28.805600 4.130110 0.099772 0. 0.
   8.88  5.518810 2.760280 1.561780 0.239909 0.000787 -0.002640 27.699400 3.149870 0.394293 0.139754 0. 0.
   9.04  4.690590 2.672540 1.735920 0.244667 0.000384 -0.002659 26.881800 2.231100 0.222374 0.140643 0. 0.
   9.19  3.899960 2.402090 1.735920 0.250465 -0.000031 -0.002659 26.191900 2.196460 0.222374 0.141577 0. 0.
   9.73  1.828320 1.474390 1.735920 0.282535 -0.001452 -0.002659 23.907800 2.077620 0.222374 0.144977 0. 0.
  10.20  0.897922 0.634539 1.562100 0.343047 0.032571 0.145110 19.945800 3.952070 0.833202 0.148455 0. 0.
  10.68  0.634677 -0.087006 1.587530 0.451494 0.136549 0.289829 16.363300 3.554430 0.833202 0.152660 0. 0.
  11.16  1.061590 -0.800948 1.546280 0.549829 0.308199 0.428181 13.160400 3.156780 0.833202 0.157837 0. 0.
  11.64  2.141360 -1.444890 1.441950 0.600896 0.543751 0.557126 10.337000 2.759130 0.833202 0.164351 0. 0.
  12.17  4.388690 -2.572630 1.735920 0.628678 0.867886 0.608802  6.764230 2.968990 1.451000 0.174491 0. 0.
  12.32  5.220650 -2.839480 1.735920 0.633790 0.961472 0.608802  5.885720 2.745940 1.451000 0.178370 0. 0.
  12.43  5.792570 -2.525510 1.273740 0.636862 1.021690 0.523574  5.368820 2.132490 1.033280 0.181383 0. 0.
  12.53  6.287750 -2.119610 0.873566 0.639660 1.072590 0.433571  4.973650 1.597130 0.713928 0.184661 0. 0.
  12.85  7.703670 -2.393670 0.873566 0.646836 1.208610 0.433571  4.041810 1.373160 0.713928 0.195807 0. 0.
  13.00  8.462370 -2.528330 0.873566 0.649874 1.275450 0.433571  3.635430 1.263110 0.713928 0.202210 0. 0.
  13.11  8.878650 -1.384960 0.328666 0.651814 1.311890 0.254098  3.427030 0.715354 0.441120 0.206994 0. 0.
  13.21  9.043070 -0.160728 0.113439 0.653689 1.329110 0.070903  3.329570 0.209776 0.313555 0.211994 0. 0.
  13.36  9.092110 -0.177193 0.113439 0.656237 1.339400 0.070903  3.275280 0.164264 0.313555 0.218992 0. 0.
  13.48  9.137040 -0.191033 0.113439 0.658368 1.348050 0.070903  3.239870 0.126010 0.313555 0.224954 0. 0.
  13.89  9.312630 -0.237513 0.113439 0.665440 1.377100 0.070903  3.189250 -0.002466 0.313555 0.245298 0. 0.
  14.11  9.470170 -0.262784 0.112887 0.669224 1.388500 0.000974  3.174950 -0.003200 0.314969 0.256485 0. 0.
  14.34  9.546800 -0.079529 0.105410 0.672963 1.377540 -0.099039  3.192110 -0.073596 0.314969 0.267667 0. 0.
  15.01  9.988730 -0.364841 0.113439 0.684003 1.330870 -0.068950  3.340890 -0.215925 0.313277 0.300897 0. 0.
  15.12  9.920690 1.004490 0.202505 0.685692 1.313840 -0.252403  3.439820 -0.723238 0.442777 0.305880 0. 0.
  15.23  9.567570 2.315170 0.664746 0.687417 1.277560 -0.432157  3.650120 -1.273190 0.718062 0.310647 0. 0.
  15.38  8.869610 2.212700 0.664746 0.690080 1.210950 -0.432157  4.059700 -1.383880 0.718062 0.317021 0. 0.
  15.69  7.546690 2.004150 0.664746 0.696185 1.075370 -0.432157  4.998670 -1.609150 0.718062 0.328114 0. 0.
  15.80  7.062090 2.541680 1.056360 0.698498 1.024600 -0.522405  5.396690 -2.147330 1.039710 0.331377 0. 0.
  15.91  6.472760 2.986690 1.532620 0.700996 0.964497 -0.607888  5.917090 -2.764150 1.460260 0.334373 0. 0.
  16.06  5.590730 2.751090 1.532620 0.705064 0.871051 -0.607888  6.801420 -2.988620 1.460260 0.338231 0. 0.
  16.59  3.095750 1.935100 1.532620 0.725487 0.547403 -0.607888 10.397700 -3.766080 1.460260 0.348314 0. 0.
  17.07  1.754440 1.148930 1.322380 0.758190 0.312411 -0.427102 13.240200 -3.178030 0.838346 0.354790 0. 0.
  17.55  0.934470 0.556565 1.401610 0.818746 0.141227 -0.288955 16.464600 -3.578130 0.838346 0.359935 0. 0.
  18.02  0.707480 -0.084441 1.423550 0.918160 0.037613 -0.144460 20.070900 -3.978230 0.838346 0.364113 0. 0.
  18.50  1.093310 -0.718067 1.386260 1.009073 0.003844 0.003208 24.059100 -4.378330 0.838346 0.367570 0. 0.
  19.00  2.298700 -1.588410 1.532620 1.060150 0.005631 0.003573 26.207100 -2.203600 0.223445 0.370740 0. 0.
  19.15  2.933370 -2.759530 2.936910 1.069321 0.006303 0.005523 25.589400 6.300190 1.590200 0.371644 0. 0.
  19.30  3.989650 -4.476800 5.274080 1.076281 0.007283 0.007744 22.589300 13.596900 8.228530 0.372618 0. 0.
  19.46  5.543100 -5.313630 5.274080 1.081650 0.008511 0.007744 18.481600 12.291300 8.228530 0.373855 0. 0.
  19.61  7.304220 -6.125610 5.274080 1.085502 0.009704 0.007744 14.892000 11.024500 8.228530 0.375332 0. 0.
  19.76  8.796870 -3.431630 1.452350 1.088510 0.010587 0.003748 12.488700 4.991550 2.075130 0.377135 0. 0.
  19.92  9.322010 0.069207 0.107787 1.091174 0.010840 -0.000471 11.712600 0.180150 0.088149 0.379169 0. 0.
  20.07  9.302940 0.052290 0.107787 1.093856 0.010766 -0.000471 11.658200 0.166315 0.088149 0.381308 0. 0.
  20.24  9.288480 0.034289 0.107787 1.096716 0.010687 -0.000471 11.605100 0.151594 0.088149 0.383592 0. 0.
  20.35  9.282380 0.022756 0.107787 1.098549 0.010637 -0.000471 11.573700 0.142162 0.088149 0.385063 0. 0.
  21.90  9.472530 -0.144960 0.107787 1.125082 0.009904 -0.000471 11.344700 0.005003 0.088149 0.406741 0. 0.
  23.46 10.184600 -0.312676 0.107787 1.150402 0.009171 -0.000471 11.542600 -0.132157 0.088149 0.428450 0. 0.
  23.57 10.252800 -0.324210 0.107787 1.152069 0.009120 -0.000471 11.571900 -0.141589 0.088149 0.429924 0. 0.
  23.73 10.364100 -0.342210 0.107787 1.154647 0.009041 -0.000471 11.621600 -0.156310 0.088149 0.432215 0. 0.
  23.89 10.474100 -0.359128 0.107787 1.157045 0.008968 -0.000471 11.672900 -0.170145 0.088149 0.434359 0. 0.
  24.04  9.966500 3.609420 1.407510 1.159406 0.008629 -0.003936 12.443300 -4.964120 2.060740 0.436401 0. 0.
  24.20  8.351800 6.729300 5.541740 1.162049 0.007775 -0.007166 14.834800 -10.972900 8.183780 0.438212 0. 0.
