0:
1:
2:
3:
4:
5:
6:
7:
8:
9:
10:
11:
12:
13:
14:
15:
16:
17:
18:
19:
20:
21:
22:
23:
24:
25:
26:
27:
28:
29:
30:
31:
32:
33:
34:
35:
36:
37:
38:
39:
40:
41:
42:
43:
44:
46:s[m]  beta_x[m] alpha_x gamma_x nu_x eta_x etap_x beta_y[m] alpha_y gamma_y nu_y eta_y etap_y
0.000000  1.559853 -3.67514e-09 0.641086 0.000000 -0.00690384 8.35413e-08  6.633599 -5.1983e-15 0.150748 0.000000 0. 0.
0.100000  1.566264 -0.0641086 0.641086 0.010189 -0.00690384 8.35413e-08  6.635106 -0.0150748 0.150748 0.002399 0. 0.
0.200000  1.585497 -0.128217 0.641086 0.020296 -0.00690383 8.35413e-08  6.639629 -0.0301495 0.150748 0.004797 0. 0.
0.300000  1.617551 -0.192326 0.641086 0.030240 -0.00690382 8.35413e-08  6.647166 -0.0452243 0.150748 0.007193 0. 0.
0.400000  1.662427 -0.256434 0.641086 0.039952 -0.00690381 8.35413e-08  6.657718 -0.0602991 0.150748 0.009585 0. 0.
0.500000  1.720125 -0.320543 0.641086 0.049369 -0.0069038 8.35413e-08  6.671286 -0.0753739 0.150748 0.011973 0. 0.
0.600000  1.790644 -0.384652 0.641086 0.058443 -0.00690379 8.35413e-08  6.687868 -0.0904486 0.150748 0.014356 0. 0.
0.700000  1.873985 -0.44876 0.641086 0.067135 -0.00690379 8.35413e-08  6.707465 -0.105523 0.150748 0.016733 0. 0.
0.800000  1.970148 -0.512869 0.641086 0.075422 -0.00690378 8.35413e-08  6.730077 -0.120598 0.150748 0.019102 0. 0.
0.900000  2.079133 -0.576977 0.641086 0.083289 -0.00690377 8.35413e-08  6.755704 -0.135673 0.150748 0.021462 0. 0.
1.000000  2.200939 -0.641086 0.641086 0.090732 -0.00690376 8.35413e-08  6.784346 -0.150748 0.150748 0.023813 0. 0.
1.100000  2.335567 -0.705195 0.641086 0.097754 -0.00690375 8.35413e-08  6.816003 -0.165823 0.150748 0.026153 0. 0.
1.200000  2.483017 -0.769303 0.641086 0.104364 -0.00690374 8.35413e-08  6.850675 -0.180897 0.150748 0.028483 0. 0.
1.300000  2.643288 -0.833412 0.641086 0.110578 -0.00690374 8.35413e-08  6.888362 -0.195972 0.150748 0.030800 0. 0.
1.400000  2.816382 -0.89752 0.641086 0.116413 -0.00690373 8.35413e-08  6.929064 -0.211047 0.150748 0.033103 0. 0.
1.500000  3.002297 -0.961629 0.641086 0.121887 -0.00690372 8.35413e-08  6.972781 -0.226122 0.150748 0.035393 0. 0.
1.600000  3.201033 -1.02574 0.641086 0.127022 -0.00690371 8.35413e-08  7.019513 -0.241196 0.150748 0.037668 0. 0.
1.700000  3.412592 -1.08985 0.641086 0.131838 -0.0069037 8.35413e-08  7.069260 -0.256271 0.150748 0.039928 0. 0.
