0:
1:
2:
3:
4:
5:
6:
7:
8:
9:
10:
11:
12:
13:
14:
15:
16:
17:
18:
19:
20:
21:
22:
23:
24:
25:
26:
27:
28:
29:
30:
31:
32:
33:
34:
35:
36:
37:
38:
39:
40:
41:
42:
43:
44:
46:s[m]  beta_x[m] alpha_x gamma_x nu_x eta_x etap_x beta_y[m] alpha_y gamma_y nu_y eta_y etap_y
0.000000  1.559853 1.28381e-08 0.641086 0.000000 -0.00690384 8.35413e-08  6.633599 1.33865e-16 0.150748 0.000000 0. 0.
0.000000  1.559853 1.28381e-08 0.641086 0.000000 -0.00690384 8.35413e-08  6.633599 1.33865e-16 0.150748 0.000000 0. 0.
0.000000  1.559853 1.28381e-08 0.641086 0.000000 -0.00690384 8.35413e-08  6.633599 1.33865e-16 0.150748 0.000000 0. 0.
0.000000  1.559853 1.28381e-08 0.641086 0.000000 -0.00690384 8.35413e-08  6.633599 1.33865e-16 0.150748 0.000000 0. 0.
0.091700  1.565244 0.0587876 0.641086 0.009346 -0.00690385 8.35413e-08  6.634866 0.0138236 0.150748 0.002200 0. 0.
0.191700  1.583412 0.122896 0.641086 0.019462 -0.00690386 8.35413e-08  6.639138 0.0288983 0.150748 0.004598 0. 0.
0.291700  1.614402 0.187005 0.641086 0.029423 -0.00690387 8.35413e-08  6.646426 0.0439731 0.150748 0.006994 0. 0.
0.391700  1.658214 0.251113 0.641086 0.039156 -0.00690388 8.35413e-08  6.656728 0.0590479 0.150748 0.009387 0. 0.
0.491700  1.714848 0.315222 0.641086 0.048600 -0.00690388 8.35413e-08  6.670045 0.0741227 0.150748 0.011775 0. 0.
0.591700  1.784303 0.379331 0.641086 0.057704 -0.00690389 8.35413e-08  6.686377 0.0891974 0.150748 0.014159 0. 0.
0.691700  1.866580 0.443439 0.641086 0.066429 -0.0069039 8.35413e-08  6.705724 0.104272 0.150748 0.016536 0. 0.
0.791700  1.961679 0.507548 0.641086 0.074750 -0.00690391 8.35413e-08  6.728086 0.119347 0.150748 0.018905 0. 0.
0.891700  2.069599 0.571656 0.641086 0.082652 -0.00690392 8.35413e-08  6.753463 0.134422 0.150748 0.021266 0. 0.
0.991700  2.190341 0.635765 0.641086 0.090130 -0.00690393 8.35413e-08  6.781854 0.149497 0.150748 0.023618 0. 0.
1.091700  2.323905 0.699874 0.641086 0.097187 -0.00690393 8.35413e-08  6.813261 0.164571 0.150748 0.025960 0. 0.
1.191700  2.470291 0.763982 0.641086 0.103831 -0.00690394 8.35413e-08  6.847683 0.179646 0.150748 0.028290 0. 0.
1.291700  2.629498 0.828091 0.641086 0.110077 -0.00690395 8.35413e-08  6.885120 0.194721 0.150748 0.030608 0. 0.
1.391700  2.801527 0.892199 0.641086 0.115943 -0.00690396 8.35413e-08  6.925571 0.209796 0.150748 0.032913 0. 0.
1.491700  2.986378 0.956308 0.641086 0.121446 -0.00690397 8.35413e-08  6.969038 0.22487 0.150748 0.035204 0. 0.
1.591700  3.184050 1.02042 0.641086 0.126608 -0.00690398 8.35413e-08  7.015519 0.239945 0.150748 0.037480 0. 0.
1.691700  3.394544 1.08453 0.641086 0.131450 -0.00690398 8.35413e-08  7.065016 0.25502 0.150748 0.039741 0. 0.
1.791700  3.617860 1.14863 0.641086 0.135992 -0.00690399 8.35413e-08  7.117527 0.270095 0.150748 0.041985 0. 0.
1.891700  3.853998 1.21274 0.641086 0.140255 -0.006904 8.35413e-08  7.173054 0.285169 0.150748 0.044213 0. 0.
1.991700  4.102957 1.27685 0.641086 0.144258 -0.00690401 8.35413e-08  7.231595 0.300244 0.150748 0.046422 0. 0.
2.091700  4.364738 1.34096 0.641086 0.148019 -0.00690402 8.35413e-08  7.293152 0.315319 0.150748 0.048614 0. 0.
2.191700  4.639341 1.40507 0.641086 0.151556 -0.00690403 8.35413e-08  7.357723 0.330394 0.150748 0.050787 0. 0.
2.291700  4.926766 1.46918 0.641086 0.154885 -0.00690404 8.35413e-08  7.425309 0.345469 0.150748 0.052940 0. 0.
2.391700  5.227012 1.53329 0.641086 0.158022 -0.00690404 8.35413e-08  7.495910 0.360543 0.150748 0.055073 0. 0.
2.491700  5.540080 1.59739 0.641086 0.160980 -0.00690405 8.35413e-08  7.569526 0.375618 0.150748 0.057186 0. 0.
2.591700  5.865969 1.6615 0.641086 0.163772 -0.00690406 8.35413e-08  7.646158 0.390693 0.150748 0.059278 0. 0.
2.691700  6.204681 1.72561 0.641086 0.166410 -0.00690407 8.35413e-08  7.725804 0.405768 0.150748 0.061349 0. 0.
2.791700  6.556214 1.78972 0.641086 0.168905 -0.00690408 8.35413e-08  7.808465 0.420842 0.150748 0.063398 0. 0.
2.891700  6.920569 1.85383 0.641086 0.171268 -0.00690409 8.35413e-08  7.894141 0.435917 0.150748 0.065426 0. 0.
